Channel1,channel2,channel3,channel4,channel5,channel6,Label
53,70,98,101,52,98,stop
54,70,96,101,52,94,stop
54,72,92,102,52,93,stop
54,73,92,107,52,93,stop
55,78,92,108,50,92,stop
56,75,92,109,52,90,stop
57,79,90,113,54,90,stop
59,77,90,117,56,90,stop
59,78,91,117,56,89,stop
60,80,95,117,56,89,stop
62,80,93,118,54,88,stop
63,80,93,121,54,86,stop
64,86,88,123,55,85,stop
65,84,87,121,56,86,stop
68,82,87,122,58,84,stop
69,82,89,124,57,83,stop
71,82,88,128,58,81,stop
71,86,90,127,57,80,stop
74,89,87,129,58,80,stop
75,87,86,130,59,79,stop
77,88,86,132,59,77,stop
79,89,83,135,59,77,stop
80,88,81,137,59,75,stop
82,91,81,138,62,75,stop
83,92,82,141,61,73,stop
85,95,82,144,63,72,stop
86,93,80,145,63,72,stop
88,95,79,146,65,71,stop
90,94,77,146,66,70,stop
91,96,75,150,66,69,stop
93,101,75,151,69,69,stop
94,99,74,153,69,66,stop
95,96,73,153,69,65,stop
96,97,74,155,69,64,stop
97,104,76,158,71,62,stop
97,100,76,158,72,61,stop
99,105,76,158,72,62,stop
98,104,74,159,73,61,stop
98,104,76,160,73,60,stop
99,104,78,163,75,59,stop
99,104,77,162,74,58,stop
101,104,75,163,75,57,stop
99,105,73,164,75,56,stop
100,107,72,164,76,56,stop
100,106,72,166,77,54,stop
100,106,71,166,78,54,stop
99,106,70,167,78,53,stop
98,111,68,167,80,53,stop
99,107,69,166,79,53,stop
99,107,69,165,80,52,stop
98,106,65,165,82,54,stop
98,109,65,165,84,53,stop
98,109,65,165,83,52,stop
98,108,63,164,83,52,stop
96,109,62,164,81,52,stop
95,109,67,162,82,52,stop
95,112,67,160,84,53,stop
93,109,65,158,86,52,stop
92,108,63,158,85,53,stop
92,110,63,156,85,53,stop
90,110,66,153,82,52,stop
90,108,67,152,82,53,stop
88,106,67,148,83,52,stop
87,106,65,144,85,54,stop
86,108,66,143,84,55,stop
85,107,67,141,82,54,stop
83,106,69,141,80,55,stop
82,105,67,138,84,55,stop
80,104,70,136,84,54,stop
79,101,68,136,85,55,stop
77,104,69,135,85,57,stop
75,104,68,134,84,56,stop
75,104,73,132,82,56,stop
74,104,71,131,81,57,stop
73,101,71,131,83,57,stop
71,100,73,130,84,56,stop
70,104,74,128,84,56,stop
68,103,76,126,82,58,stop
67,102,77,125,81,59,stop
66,105,75,124,83,59,stop
66,102,76,122,81,60,stop
65,100,76,119,81,60,stop
64,100,76,117,80,61,stop
64,98,78,114,79,60,stop
62,98,74,120,78,62,stop
61,93,75,114,78,62,stop
61,94,79,112,78,61,stop
59,96,79,110,76,63,stop
57,94,77,108,74,61,stop
56,92,75,107,74,64,stop
55,89,77,106,75,64,stop
54,88,80,102,75,65,stop
52,89,76,101,73,65,stop
51,87,73,97,72,65,stop
50,88,73,99,72,65,stop
