channel1,channel2,channel3,channel4,channel5,channel6,label
55,78,56,58,59,73,stop
53,76,55,58,58,71,stop
52,75,55,61,59,71,stop
52,80,54,62,58,70,stop
49,80,57,61,58,71,stop
49,80,56,62,56,69,stop
50,81,56,62,55,68,stop
52,78,56,63,55,69,stop
53,78,55,61,56,69,stop
53,77,54,61,57,68,stop
52,75,55,59,58,68,stop
54,76,54,58,58,68,stop
57,74,54,57,57,65,stop
59,72,53,60,56,67,stop
60,72,54,64,56,72,stop
61,73,56,63,54,71,stop
65,74,55,61,56,69,stop
69,73,56,59,57,70,stop
72,73,58,61,57,68,stop
73,74,58,61,60,68,stop
77,74,59,58,59,68,stop
80,76,58,60,57,68,stop
82,74,57,62,58,65,stop
84,79,56,62,60,69,stop
83,80,56,61,61,67,stop
87,82,55,60,60,64,stop
88,85,55,58,58,65,stop
91,83,54,59,57,67,stop
94,79,55,60,56,65,stop
95,77,57,59,56,64,stop
97,78,55,60,58,63,stop
97,77,55,60,57,62,stop
99,81,56,59,57,63,stop
99,80,55,61,56,64,stop
102,78,57,60,55,65,start
102,80,56,63,54,65,start
104,78,57,61,54,65,start
105,81,59,61,54,64,start
105,80,63,59,53,63,start
105,84,62,64,53,64,start
106,83,61,62,54,64,start
106,81,60,61,55,63,start
107,83,60,59,55,65,start
106,81,60,58,55,65,start
106,78,61,58,56,67,start
106,76,60,57,56,73,start
106,76,60,58,55,70,start
107,76,62,58,55,69,start
107,77,59,57,54,68,start
105,80,59,56,54,65,start
105,80,59,58,56,64,start
102,78,59,57,56,66,start
97,78,59,56,56,63,stop
96,78,60,56,55,66,stop
94,76,57,62,53,63,stop
90,76,56,61,53,64,stop
87,75,55,60,54,65,stop
83,76,58,58,54,64,stop
80,77,57,58,52,67,stop
77,75,56,57,52,65,stop
73,73,56,59,54,65,stop
68,71,56,60,54,65,stop
65,73,58,60,54,64,stop
63,75,56,56,53,65,stop
61,74,55,56,52,64,stop
61,79,55,56,52,66,stop
61,81,54,57,54,68,stop
62,84,55,61,54,69,stop
63,83,53,62,53,68,stop
63,80,55,60,54,67,stop
62,81,55,59,54,66,stop
64,81,55,58,54,66,stop
65,83,55,60,55,67,stop
65,83,55,59,53,70,stop
64,82,54,58,55,68,stop
65,83,54,57,55,69,stop
65,82,55,57,57,70,stop
64,85,54,58,57,71,stop
64,82,54,58,55,68,stop
62,87,54,55,55,67,stop
60,87,53,59,56,66,stop
60,86,54,60,57,64,stop
58,87,54,59,58,65,stop
57,86,53,59,60,65,stop
57,84,52,58,61,66,stop
